fold,representation,model,n_components,class_weight,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,window_hours
1,persistence_image,pi_72h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.17708129930919067,0.5441990047505368,0.4506458870750981,0.1407602147004053,72
1,persistence_image,pi_72h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.1970594023132247,0.5857025497850932,0.4677308890301712,0.1,72
1,persistence_image,pi_72h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.2053428728633103,0.6033454021299988,0.46445329321329537,0.08474446987032799,72
1,persistence_image,pi_168h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.0736556716108761,0.27008049612295243,0.11098820298411517,0.08653198653198653,168
1,persistence_image,pi_168h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.013818562743856736,0.12230979152353408,0.11474866220382932,0.0,168
1,persistence_image,pi_168h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.015304959316408144,0.12959539437073553,0.12118920306630458,0.0,168
1,persistence_image,pi_168h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.010025468337695319,0.10540130955055961,0.10002545205845337,0.0,168
1,persistence_image,pi_168h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.011922003996267635,0.11551587212071078,0.10908046235731045,0.0,168
1,persistence_image,pi_168h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.1110486689957864,0.36201258015849974,0.10801554430415872,0.1407602147004053,168
1,persistence_image,pi_168h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.08218519137606736,0.28728832847974956,0.1029233502834033,0.1,168
1,persistence_image,pi_168h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.07252360720268139,0.2677966190595789,0.11205859533340874,0.08474446987032799,168
1,persistence_image,pi_168h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.195963152175414,0.5838911846241199,0.4539593001797808,0.08653198653198653,168
1,persistence_image,pi_168h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.23143289775663992,0.6576508853212502,0.46955270905889357,0.0,168
1,persistence_image,pi_168h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.2586396618622207,0.7139226452648983,0.4990375235909928,0.0,168
1,persistence_image,pi_168h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.16705992356378455,0.5251943708522537,0.4082180151408987,0.0,168
1,persistence_image,pi_168h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.20544370709629414,0.6036138387829727,0.4527946574382464,0.0,168
1,persistence_image,pi_168h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.1712879162073969,0.5325913916346704,0.4408053057176166,0.1407602147004053,168
1,persistence_image,pi_168h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.16504977098690057,0.5190702986179889,0.42102207057299706,0.1,168
1,persistence_image,pi_168h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.2000660723331572,0.5924944143457574,0.45833083179807244,0.08474446987032799,168
2,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,overall,overall,17934,0.06515621418761113,0.2491933950910361,0.11332054378537063,0.07494145199063232,24
2,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,broad_family,crypto_btc,3360,0.014051710137794432,0.12404099277022179,0.11635948694327133,0.0,24
2,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,broad_family,crypto_eth,2352,0.017297814628406617,0.137510870192139,0.12792278272309407,0.0,24
2,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.01101068598731216,0.11082056119102311,0.10489651927387031,0.0,24
2,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.012775965385346776,0.11989664105724368,0.11298163458078828,0.0,24
2,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,broad_family,macro_fed_rates,11550,0.09286762115241586,0.3161307415763955,0.10971786246385824,0.11636363636363636,24
2,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,active_market_count_bucket,51-100,17934,0.06515621418761113,0.2491933950910361,0.11332054378537063,0.07494145199063232,24
2,persistence_image,pi_24h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,overall,overall,17934,0.2003080330112412,0.5931214089538814,0.45742730997934067,0.07494145199063232,24
2,persistence_image,pi_24h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,broad_family,crypto_btc,3360,0.23130019495573395,0.6569574715235833,0.4720953712974782,0.0,24
2,persistence_image,pi_24h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,broad_family,crypto_eth,2352,0.27855799204116505,0.7585084102790253,0.5161143608165742,0.0,24
2,persistence_image,pi_24h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.18158500382703527,0.5552618971014981,0.42593880334104145,0.0,24
2,persistence_image,pi_24h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-17 06:00:00+00:00,2025-08-17 07:00:00+00:00,2025-08-31 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.21579027053025696,0.6245507378475508,0.4642940023093677,0.0,24
