fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
5,persistence_image,pi_24h_10x10_balanced,balanced,4,5941,0.43364736595413805,0.0565561353307524
5,persistence_image,pi_24h_10x10_balanced,balanced,5,1822,0.538878398928235,0.0
5,persistence_image,pi_24h_10x10_balanced,balanced,6,1084,0.6548011590495574,0.27398523985239853
5,persistence_image,pi_24h_10x10_balanced,balanced,7,1046,0.7458612557164814,0.4474187380497132
5,persistence_image,pi_24h_10x10_balanced,balanced,8,306,0.8118677266282978,0.7941176470588235
5,persistence_image,pi_24h_10x10_standard,standard,0,13586,0.09155969407040128,0.00014721036360959813
5,persistence_image,pi_24h_10x10_standard,standard,1,6262,0.1303684509843329,0.16320664324496967
5,persistence_image,pi_24h_10x10_standard,standard,2,433,0.2151105671355174,0.7390300230946882
5,persistence_image,pi_72h_10x10_balanced,balanced,3,5852,0.38805894987077316,0.0
5,persistence_image,pi_72h_10x10_balanced,balanced,4,9606,0.43180301397094056,0.021549031855090568
5,persistence_image,pi_72h_10x10_balanced,balanced,5,2206,0.5402432902413311,0.058476881233000905
5,persistence_image,pi_72h_10x10_balanced,balanced,6,1077,0.6558786299158057,0.18477251624883936
5,persistence_image,pi_72h_10x10_balanced,balanced,7,1111,0.7476534447610111,0.46894689468946893
5,persistence_image,pi_72h_10x10_balanced,balanced,8,429,0.8186730778618698,0.6713286713286714
5,persistence_image,pi_72h_10x10_standard,standard,0,12744,0.09296298876026798,0.0
5,persistence_image,pi_72h_10x10_standard,standard,1,6992,0.12793544126735337,0.1411613272311213
5,persistence_image,pi_72h_10x10_standard,standard,2,545,0.21535747980641531,0.655045871559633
6,persistence_image,pi_168h_10x10_balanced,balanced,2,6024,0.2818584303834026,0.0
6,persistence_image,pi_168h_10x10_balanced,balanced,3,10813,0.33282736079918984,0.024600018496254508
6,persistence_image,pi_168h_10x10_balanced,balanced,4,2014,0.44436763437422905,0.038232373386295926
6,persistence_image,pi_168h_10x10_balanced,balanced,5,1100,0.5367991780641438,0.22545454545454546
6,persistence_image,pi_168h_10x10_balanced,balanced,6,215,0.6487581822833416,0.4232558139534884
6,persistence_image,pi_168h_10x10_balanced,balanced,7,615,0.7527915248545218,0.9934959349593496
6,persistence_image,pi_168h_10x10_balanced,balanced,8,51,0.8106033667482125,1.0
6,persistence_image,pi_168h_10x10_standard,standard,0,18562,0.07198799100762432,0.018209244693459758
6,persistence_image,pi_168h_10x10_standard,standard,1,2238,0.12973275864076508,0.4352100089365505
6,persistence_image,pi_168h_10x10_standard,standard,2,32,0.2097740419444699,1.0
6,persistence_image,pi_24h_10x10_balanced,balanced,2,894,0.2841421334093064,0.0
6,persistence_image,pi_24h_10x10_balanced,balanced,3,13437,0.3552123163642593,0.00431643968147652
6,persistence_image,pi_24h_10x10_balanced,balanced,4,3753,0.43778400550792373,0.07434052757793765
6,persistence_image,pi_24h_10x10_balanced,balanced,5,1415,0.5499472494674496,0.06431095406360424
6,persistence_image,pi_24h_10x10_balanced,balanced,6,613,0.6376569267303611,0.3915171288743883
6,persistence_image,pi_24h_10x10_balanced,balanced,7,375,0.7625907266890852,0.8826666666666667
6,persistence_image,pi_24h_10x10_balanced,balanced,8,345,0.8248101065358137,1.0
6,persistence_image,pi_24h_10x10_standard,standard,0,16768,0.08401036211446636,0.012404580152671756
6,persistence_image,pi_24h_10x10_standard,standard,1,3638,0.12462338571859971,0.19516217702034086
6,persistence_image,pi_24h_10x10_standard,standard,2,426,0.21855446422618474,1.0
6,persistence_image,pi_72h_10x10_balanced,balanced,2,4132,0.2678948843158578,0.000968054211035818
6,persistence_image,pi_72h_10x10_balanced,balanced,3,11959,0.34280282100909565,0.009030855422694205
6,persistence_image,pi_72h_10x10_balanced,balanced,4,2670,0.44194082403705587,0.09138576779026217
6,persistence_image,pi_72h_10x10_balanced,balanced,5,962,0.5483831606366499,0.1392931392931393
6,persistence_image,pi_72h_10x10_balanced,balanced,6,466,0.6349951281052576,0.4613733905579399
6,persistence_image,pi_72h_10x10_balanced,balanced,7,487,0.7610795245067173,0.9917864476386037
6,persistence_image,pi_72h_10x10_balanced,balanced,8,156,0.8196825242888301,1.0
6,persistence_image,pi_72h_10x10_standard,standard,0,18147,0.07608805555040199,0.018735879208684632
6,persistence_image,pi_72h_10x10_standard,standard,1,2525,0.12972950553168952,0.3342574257425743
6,persistence_image,pi_72h_10x10_standard,standard,2,160,0.212185490237212,1.0
7,persistence_image,pi_168h_10x10_balanced,balanced,3,10353,0.36768453139953655,0.0
7,persistence_image,pi_168h_10x10_balanced,balanced,4,6015,0.4371984873493682,0.044389027431421445
7,persistence_image,pi_168h_10x10_balanced,balanced,5,1745,0.5514502044598678,0.03954154727793696
7,persistence_image,pi_168h_10x10_balanced,balanced,6,722,0.6353363509079326,0.21606648199445982
7,persistence_image,pi_168h_10x10_balanced,balanced,7,507,0.7562975850635294,0.8481262327416174
7,persistence_image,pi_168h_10x10_balanced,balanced,8,174,0.8343365615820209,1.0
7,persistence_image,pi_168h_10x10_standard,standard,0,15198,0.08342914769915537,0.012370048690617187
7,persistence_image,pi_168h_10x10_standard,standard,1,4148,0.1243206512441941,0.1805689488910318
7,persistence_image,pi_168h_10x10_standard,standard,2,170,0.21255484807613392,0.9352941176470588
7,persistence_image,pi_24h_10x10_balanced,balanced,2,422,0.2876014501733152,0.0
7,persistence_image,pi_24h_10x10_balanced,balanced,3,11905,0.3682298305103873,0.0015119697606047879
7,persistence_image,pi_24h_10x10_balanced,balanced,4,4333,0.43529718975788956,0.06946688206785137
7,persistence_image,pi_24h_10x10_balanced,balanced,5,1588,0.5489002766472885,0.010705289672544081
7,persistence_image,pi_24h_10x10_balanced,balanced,6,616,0.6395455984634064,0.28733766233766234
7,persistence_image,pi_24h_10x10_balanced,balanced,7,468,0.7433431156752438,0.8782051282051282
7,persistence_image,pi_24h_10x10_balanced,balanced,8,184,0.839256918566915,0.9347826086956522
7,persistence_image,pi_24h_10x10_standard,standard,0,15524,0.08521705317455124,0.007021386240659623
7,persistence_image,pi_24h_10x10_standard,standard,1,3801,0.12576397538778755,0.2138910812943962
7,persistence_image,pi_24h_10x10_standard,standard,2,191,0.22857409412084234,0.9109947643979057
7,persistence_image,pi_72h_10x10_balanced,balanced,2,74,0.29410757375224333,0.0
7,persistence_image,pi_72h_10x10_balanced,balanced,3,11052,0.35881336189334645,0.0003619254433586681
7,persistence_image,pi_72h_10x10_balanced,balanced,4,5364,0.43718666951530255,0.050335570469798654
7,persistence_image,pi_72h_10x10_balanced,balanced,5,1692,0.5473293250576226,0.0384160756501182
7,persistence_image,pi_72h_10x10_balanced,balanced,6,668,0.6392554628156792,0.27844311377245506
7,persistence_image,pi_72h_10x10_balanced,balanced,7,496,0.7482222653053647,0.8346774193548387
7,persistence_image,pi_72h_10x10_balanced,balanced,8,170,0.8367018202345583,0.9235294117647059
7,persistence_image,pi_72h_10x10_standard,standard,0,15315,0.08337461825401926,0.011361410381978453
7,persistence_image,pi_72h_10x10_standard,standard,1,4011,0.12407292590843046,0.18673647469458987
7,persistence_image,pi_72h_10x10_standard,standard,2,190,0.22027378321079305,0.9105263157894737
8,persistence_image,pi_168h_10x10_balanced,balanced,3,6088,0.3805898421289498,0.0
8,persistence_image,pi_168h_10x10_balanced,balanced,4,10212,0.42896437811566623,0.0199764982373678
8,persistence_image,pi_168h_10x10_balanced,balanced,5,1621,0.5496810812179181,0.1202961135101789
8,persistence_image,pi_168h_10x10_balanced,balanced,6,1439,0.6458045723245511,0.20152883947185546
8,persistence_image,pi_168h_10x10_balanced,balanced,7,852,0.7448556212891834,0.7194835680751174
8,persistence_image,pi_168h_10x10_balanced,balanced,8,40,0.8132579386446386,0.775
8,persistence_image,pi_168h_10x10_standard,standard,0,15768,0.08692569891018155,0.005200405885337392
8,persistence_image,pi_168h_10x10_standard,standard,1,4462,0.1319168100279996,0.2774540564769162
8,persistence_image,pi_168h_10x10_standard,standard,2,22,0.20827689812863034,0.5909090909090909
8,persistence_image,pi_24h_10x10_balanced,balanced,3,13193,0.37254096581240764,0.0
8,persistence_image,pi_24h_10x10_balanced,balanced,4,3604,0.4343688921284408,0.08990011098779134
8,persistence_image,pi_24h_10x10_balanced,balanced,5,1534,0.5534370274646534,0.06649282920469361
8,persistence_image,pi_24h_10x10_balanced,balanced,6,1221,0.6423418812698698,0.3153153153153153
8,persistence_image,pi_24h_10x10_balanced,balanced,7,692,0.7402720232165976,0.7543352601156069
8,persistence_image,pi_24h_10x10_balanced,balanced,8,8,0.8214827666302731,0.0
8,persistence_image,pi_24h_10x10_standard,standard,0,16097,0.0852525151317439,0.007144188358079145
8,persistence_image,pi_24h_10x10_standard,standard,1,4141,0.13284328030400666,0.2938903646462207
8,persistence_image,pi_24h_10x10_standard,standard,2,14,0.21209572095782156,0.07142857142857142
8,persistence_image,pi_72h_10x10_balanced,balanced,3,12812,0.3737836775690148,7.805182641273806e-05
8,persistence_image,pi_72h_10x10_balanced,balanced,4,3991,0.43304690115723155,0.07767476822851416
8,persistence_image,pi_72h_10x10_balanced,balanced,5,1553,0.5560137177001754,0.08113329040566646
8,persistence_image,pi_72h_10x10_balanced,balanced,6,1192,0.6437729614474712,0.313758389261745
8,persistence_image,pi_72h_10x10_balanced,balanced,7,698,0.7393445919342666,0.7478510028653295
8,persistence_image,pi_72h_10x10_balanced,balanced,8,6,0.8245898053189485,0.0
8,persistence_image,pi_72h_10x10_standard,standard,0,16246,0.08452884126487908,0.00830973778160778
8,persistence_image,pi_72h_10x10_standard,standard,1,3997,0.1325705076914982,0.2997247935951964
8,persistence_image,pi_72h_10x10_standard,standard,2,9,0.21160686432533612,0.0
9,persistence_image,pi_168h_10x10_balanced,balanced,3,16353,0.3612892327878155,0.0006726594508652847
9,persistence_image,pi_168h_10x10_balanced,balanced,4,1960,0.43980293535956666,0.3137755102040816
9,persistence_image,pi_168h_10x10_balanced,balanced,5,1136,0.5535359662645474,0.03961267605633803
9,persistence_image,pi_168h_10x10_balanced,balanced,6,1001,0.6435886114610316,0.23376623376623376
9,persistence_image,pi_168h_10x10_balanced,balanced,7,697,0.747293354770337,0.6814921090387375
9,persistence_image,pi_168h_10x10_balanced,balanced,8,367,0.8455467070051281,0.8174386920980926
9,persistence_image,pi_168h_10x10_standard,standard,0,18132,0.08067210758117903,0.030498566071034634
9,persistence_image,pi_168h_10x10_standard,standard,1,3000,0.13591794507645524,0.276
9,persistence_image,pi_168h_10x10_standard,standard,2,382,0.22698807198912302,0.7827225130890052
9,persistence_image,pi_24h_10x10_balanced,balanced,3,16228,0.3628731513167477,0.0008627064333251171
9,persistence_image,pi_24h_10x10_balanced,balanced,4,2075,0.440083107537264,0.29397590361445786
9,persistence_image,pi_24h_10x10_balanced,balanced,5,1103,0.5546132957883484,0.04079782411604715
9,persistence_image,pi_24h_10x10_balanced,balanced,6,1039,0.6448671228706195,0.2300288739172281
9,persistence_image,pi_24h_10x10_balanced,balanced,7,688,0.7503927135502626,0.6875
9,persistence_image,pi_24h_10x10_balanced,balanced,8,381,0.8465152608042144,0.7847769028871391
9,persistence_image,pi_24h_10x10_standard,standard,0,17926,0.08168267990515916,0.025772620774294323
9,persistence_image,pi_24h_10x10_standard,standard,1,3204,0.1362447671289502,0.28745318352059923
9,persistence_image,pi_24h_10x10_standard,standard,2,384,0.23037188589117005,0.7734375
9,persistence_image,pi_72h_10x10_balanced,balanced,3,15637,0.36502405387375814,0.0005116070857581378
9,persistence_image,pi_72h_10x10_balanced,balanced,4,2596,0.4344336909731316,0.23343605546995377
9,persistence_image,pi_72h_10x10_balanced,balanced,5,1089,0.5516950447333941,0.05234159779614325
9,persistence_image,pi_72h_10x10_balanced,balanced,6,1061,0.6384809586073368,0.21017907634307256
9,persistence_image,pi_72h_10x10_balanced,balanced,7,767,0.749939796730972,0.6323337679269883
9,persistence_image,pi_72h_10x10_balanced,balanced,8,364,0.8497583537546848,0.8269230769230769
9,persistence_image,pi_72h_10x10_standard,standard,0,17985,0.08161866932795075,0.02902418682235196
9,persistence_image,pi_72h_10x10_standard,standard,1,3165,0.13678731772246988,0.2707740916271722
9,persistence_image,pi_72h_10x10_standard,standard,2,364,0.23121404363416034,0.8269230769230769
10,persistence_image,pi_168h_10x10_balanced,balanced,3,15486,0.36260961729682556,0.0
10,persistence_image,pi_168h_10x10_balanced,balanced,4,2439,0.43607522655860137,0.2070520705207052
10,persistence_image,pi_168h_10x10_balanced,balanced,5,992,0.5556860478836244,0.1431451612903226
10,persistence_image,pi_168h_10x10_balanced,balanced,6,1062,0.6407188328329658,0.275894538606403
10,persistence_image,pi_168h_10x10_balanced,balanced,7,466,0.7426347306683254,0.8154506437768241
10,persistence_image,pi_168h_10x10_balanced,balanced,8,473,0.8306195365780971,0.7463002114164905
10,persistence_image,pi_168h_10x10_balanced,balanced,9,8,0.904679079077627,1.0
10,persistence_image,pi_168h_10x10_standard,standard,0,17818,0.07852752718225692,0.02435739140195308
10,persistence_image,pi_168h_10x10_standard,standard,1,2780,0.13454144066930096,0.368705035971223
10,persistence_image,pi_168h_10x10_standard,standard,2,328,0.22358897810056425,0.676829268292683
10,persistence_image,pi_24h_10x10_balanced,balanced,2,610,0.28402274059648647,0.0
10,persistence_image,pi_24h_10x10_balanced,balanced,3,15644,0.36267625121002117,0.0028765021733571975
10,persistence_image,pi_24h_10x10_balanced,balanced,4,1565,0.44240267265738087,0.2939297124600639
10,persistence_image,pi_24h_10x10_balanced,balanced,5,1077,0.546276286716238,0.10863509749303621
10,persistence_image,pi_24h_10x10_balanced,balanced,6,1065,0.6433271261505,0.3436619718309859
10,persistence_image,pi_24h_10x10_balanced,balanced,7,520,0.745953139162334,0.6576923076923077
10,persistence_image,pi_24h_10x10_balanced,balanced,8,440,0.8339583747776339,0.7863636363636364
10,persistence_image,pi_24h_10x10_balanced,balanced,9,5,0.9016071471827376,1.0
10,persistence_image,pi_24h_10x10_standard,standard,0,17500,0.0800842564301649,0.019428571428571427
