market_id,usable_points,timestamp_min,timestamp_max,min_price,max_price,unique_transactions,observed_days,question,market_family,asset,is_core,is_satellite,resolved_outcome,start_date,close_date,volume_clob
516863,4000,2025-12-24 16:39:13+00:00,2026-01-01 03:58:21+00:00,0.000999999001000007,0.010000000000000009,4000,7.4716203703703705,"Will Bitcoin reach $200,000 by December 31, 2025?",btc_price,BTC,True,False,No,,2026-01-01 07:16:21+00:00,19275707.736605
516864,4000,2025-12-24 18:48:51+00:00,2026-01-01 05:17:29+00:00,0.000999999001000007,0.399,4000,7.436550925925926,"Will Bitcoin reach $150,000 by December 31, 2025?",btc_price,BTC,True,False,No,,2026-01-01 07:20:27+00:00,16414060.383217
516865,4000,2025-12-10 08:26:28+00:00,2026-01-01 06:09:25+00:00,0.000999999001000007,0.018000000180000003,4000,21.90482638888889,"Will Bitcoin reach $130,000 by December 31, 2025?",btc_price,BTC,True,False,No,,2026-01-01 07:19:25+00:00,13211425.234841
516871,4000,2025-12-17 16:35:48+00:00,2026-01-01 02:50:29+00:00,0.000999999001000007,0.074,4000,14.426863425925927,"Will Bitcoin dip to $70,000 by December 31, 2025?",btc_price,BTC,True,False,No,,2026-01-01 07:17:23+00:00,8605610.758506
516872,4000,2025-12-10 14:30:34+00:00,2026-01-01 06:29:33+00:00,0.000999999001000007,0.05800000000000005,4000,21.665960648148147,"Will Bitcoin dip to $50,000 by December 31, 2025?",btc_price,BTC,True,False,No,,2026-01-01 07:17:23+00:00,4969076.583099
516873,4000,2025-12-16 23:21:25+00:00,2026-01-01 01:22:13+00:00,0.000999999001000007,0.010000000000000009,4000,15.08388888888889,"Will Bitcoin dip to $20,000 by December 31, 2025?",btc_price,BTC,True,False,No,,2026-01-01 07:15:17+00:00,4003570.185958
516874,4000,2025-12-15 18:01:43+00:00,2026-01-01 01:06:59+00:00,0.000999999001000007,0.1682114149784667,4000,16.295324074074074,"Will Ethereum hit $10,000 by December 31?",eth_price,ETH,True,False,No,,2026-01-01 07:18:23+00:00,9488801.522718
516875,4000,2025-11-22 13:19:39+00:00,2025-12-31 18:12:15+00:00,0.000999999001000007,0.019000000000000017,4000,39.20319444444444,"Will Ethereum hit $8,000 by December 31?",eth_price,ETH,True,False,No,,2026-01-01 07:18:21+00:00,5745770.448967
516876,4000,2025-11-21 20:23:05+00:00,2025-12-31 20:34:29+00:00,0.000999999001000007,0.02200000000000002,4000,40.00791666666667,"Will Ethereum hit $7,000 by December 31?",eth_price,ETH,True,False,No,,2026-01-01 07:15:19+00:00,7570762.533718
516877,4000,2025-11-23 21:52:59+00:00,2025-12-31 13:13:13+00:00,0.000999999001000007,0.02400000000000002,4000,37.63905092592593,"Will Ethereum hit $6,000 by December 31?",eth_price,ETH,True,False,No,,2026-01-01 07:18:21+00:00,9995564.195892
