fold,model,model_type,feature_group,slice_type,slice_value,n_obs,brier,log_loss,avg_pred,avg_actual,auc
1,xgb_pca_controls,xgb,pca_controls,broad_family,crypto_eth,1937,0.002279603056240907,0.0353970791446478,0.03359650333532674,0.0,
1,xgb_pca_controls,xgb,pca_controls,broad_family,crypto_microstrategy,336,0.0003327790893671503,0.01840894193086596,0.018240500075210418,0.0,
1,xgb_pca_controls,xgb,pca_controls,broad_family,crypto_policy,336,0.0017299562673397345,0.04248227763410717,0.04159254059639005,0.0,
1,xgb_pca_controls,xgb,pca_controls,broad_family,macro_fed_rates,9129,0.05692505460217583,0.1854798553297822,0.1163031917467537,0.1407602147004053,0.9693755369788701
1,xgb_pca_controls,xgb,pca_controls,Y_i,0,13565,0.017362224714940394,0.07870124668608715,0.06280692297830721,0.0,
1,xgb_pca_controls,xgb,pca_controls,Y_i,1,1285,0.3268188842921995,0.8861390936651358,0.4505285013800465,1.0,
1,xgb_pca_controls,xgb,pca_controls,active_count_bucket,26-50,1740,0.027859889313806622,0.10556406660237858,0.08672123369172044,0.1,1.0
1,xgb_pca_controls,xgb,pca_controls,active_count_bucket,51-100,13110,0.0463008876558062,0.1542783883118484,0.09763616230743735,0.08474446987032799,0.9586894767483249
1,xgb_pca_controls,xgb,pca_controls,prob_bucket,0-5%,5606,0.0007623495259332975,0.027565057078651874,0.0271764403867628,0.0,
1,xgb_pca_controls,xgb,pca_controls,prob_bucket,5-10%,2545,0.0003847462379881039,0.018944421016576885,0.018749136263632706,0.0,
1,xgb_pca_controls,xgb,pca_controls,prob_bucket,10-25%,2758,0.06550975956283635,0.21820796030979023,0.08229484837002474,0.0830311820159536,0.8657554895957978
1,xgb_pca_controls,xgb,pca_controls,prob_bucket,25-50%,2093,0.054944190871303526,0.1984218575467133,0.14431047511660364,0.022933588150979456,0.892710880195599
1,xgb_pca_controls,xgb,pca_controls,prob_bucket,50-75%,1493,0.2172674981130868,0.5934626161626307,0.4023236372175627,0.5679839249832552,0.6976744186046512
1,xgb_pca_controls,xgb,pca_controls,prob_bucket,75-90%,354,0.08523010565282246,0.2834124880081887,0.2856285384629911,0.4519774011299435,1.0
1,xgb_pca_controls,xgb,pca_controls,prob_bucket,90-95%,1,0.0019935037024159663,0.04567612098188589,0.0446486696600914,0.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,overall,overall,14850,0.0435708446590745,0.14748873410254512,0.0988648289526728,0.08653198653198653,0.9640330387914653
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,broad_domain,crypto,5721,0.0239740995247868,0.09068405648026324,0.06530366528514246,0.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,broad_domain,macro,9129,0.05585181507349665,0.1830873276699758,0.11989707972953129,0.1407602147004053,0.9691376292965751
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,broad_family,crypto_btc,3112,0.04240201410347366,0.1378221236575425,0.09241706274801764,0.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,broad_family,crypto_eth,1937,0.0023515057664746327,0.03618058678034708,0.03433769074146995,0.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,broad_family,crypto_microstrategy,336,0.00032563136097264755,0.018207742130314404,0.01804293995900523,0.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,broad_family,crypto_policy,336,0.0015966567986520307,0.0407780962857016,0.03995784235719059,0.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,broad_family,macro_fed_rates,9129,0.05585181507349665,0.1830873276699758,0.11989707972953129,0.1407602147004053,0.9691376292965751
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,Y_i,0,13565,0.018106937518994413,0.08040308839453235,0.06388872602773941,0.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,Y_i,1,1285,0.31237854921563973,0.8556730018295439,0.4680872695571254,1.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,active_count_bucket,26-50,1740,0.02678504888724214,0.10380230310810411,0.09034718815237283,0.1,1.0
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,active_count_bucket,51-100,13110,0.04579870771345957,0.15328693318189884,0.0999953167476783,0.08474446987032799,0.9584477074259639
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,prob_bucket,0-5%,5606,0.0006752239541287288,0.02596886653971674,0.025625083963989766,0.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,prob_bucket,5-10%,2545,0.00036885033052193534,0.01874636721534416,0.018559291527729137,0.0,
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,prob_bucket,10-25%,2758,0.06628107123016012,0.22091352459007182,0.08523823163135111,0.0830311820159536,0.8653756166460326
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,prob_bucket,25-50%,2093,0.0581162815383726,0.20713210256524034,0.15076109280429756,0.022933588150979456,0.8921607579462103
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,prob_bucket,50-75%,1493,0.2092635595053755,0.5777128202213349,0.4141146528565157,0.5679839249832552,0.6976744186046512
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,prob_bucket,75-90%,354,0.0718353978414572,0.2585770409203258,0.3059458289989981,0.4519774011299435,1.0
1,xgb_pca_controls_static_topology,xgb,pca_controls_static,prob_bucket,90-95%,1,0.002216719235352285,0.04822647337791543,0.047082047909498215,0.0,
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,overall,overall,14850,0.04259929144654255,0.14526601506715017,0.09789523945218234,0.08653198653198653,0.9663516058292613
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,broad_domain,crypto,5721,0.022667793379374284,0.08698361295282203,0.06398721825197311,0.0,
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,broad_domain,macro,9129,0.055090046232638475,0.18179067521569559,0.11914486036207357,0.1407602147004053,0.973109040690349
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,broad_family,crypto_btc,3112,0.04009132898927929,0.13174774447225515,0.09062129561699553,0.0,
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,broad_family,crypto_eth,1937,0.002211835030775847,0.0350726435961138,0.03339367965212266,0.0,
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,broad_family,crypto_microstrategy,336,0.00033287428466084637,0.018412197147447733,0.018243707051234587,0.0,
