fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece
2,design_cv,pca_only,pca_only_fixed_2_C0.01,fixed_2,0,none,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,overall,overall,11014,0.0325455093494602,0.1167155318893058,0.0867654583250509,0.0897948066097693,0.0386489687027388
2,design_cv,pca_only,pca_only_fixed_2_C0.01,fixed_2,0,none,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.010504079792724,0.0573243495882264,0.0507439674063716,0.0,0.0507439674063716
2,design_cv,pca_only,pca_only_fixed_2_C0.01,fixed_2,0,none,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.0002264523976963,0.0132979915355139,0.0131831435823872,0.0,0.0131831435823872
2,design_cv,pca_only,pca_only_fixed_2_C0.01,fixed_2,0,none,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,9.596329069877614e-05,0.0095716954870925,0.0095233721759499,0.0,0.0095233721759499
2,design_cv,pca_only,pca_only_fixed_2_C0.01,fixed_2,0,none,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.0087298068347398,0.0968736522455345,0.0922021399740107,0.0,0.0922021399740107
2,design_cv,pca_only,pca_only_fixed_2_C0.01,fixed_2,0,none,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,macro_fed_rates,4966,0.06369054818179,0.2044961356288569,0.1433261379696667,0.1991542488924688,0.0882002381640132
2,design_cv,pca_only,pca_only_fixed_2_C0.01,fixed_2,0,none,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,active_market_count_bucket,26-50,11014,0.0325455093494602,0.1167155318893058,0.0867654583250509,0.0897948066097693,0.0386489687027388
2,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,overall,overall,11014,0.0331812230075005,0.1192529362825923,0.089862338068331,0.0897948066097693,0.0394173686837065
2,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.0120625358317988,0.0642050743979249,0.0564759345555987,0.0,0.0564759345555987
2,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.0003782739156868,0.0172598405673058,0.0170671229611564,0.0,0.0170671229611564
