fold,model,model_type,feature_group,category,slice_type,slice_value,n_obs,brier,log_loss,avg_pred,avg_actual,auc
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,Y_i,1,1285,0.2327292016421265,0.9756028124904556,0.6908192340799807,1.0,
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,active_count_bucket,26-50,1740,0.011480185340519207,0.049347199642148364,0.09888114472415127,0.1,1.0
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,active_count_bucket,51-100,13110,0.03274253537646982,0.14126933012134105,0.09818523773494889,0.08474446987032799,0.9105286601666251
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,prob_bucket,0-5%,5606,4.611478699904959e-05,0.0055736195826713904,0.005550361849326654,0.0,
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,prob_bucket,5-10%,2545,0.0008141934367579535,0.01809589626247773,0.017666335613506657,0.0,
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,prob_bucket,10-25%,2758,0.08235462368714924,0.3803823863257913,0.02483356844796867,0.0830311820159536,0.43073448434837114
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,prob_bucket,25-50%,2093,0.049537615194598116,0.19633166411005382,0.1200455145966786,0.022933588150979456,0.5883200896495518
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,prob_bucket,50-75%,1493,0.05350461853898096,0.2024939726460663,0.5730121349457354,0.5679839249832552,0.9970125786163522
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,prob_bucket,75-90%,354,0.10049787599775141,0.2731718681412762,0.585146415873406,0.4519774011299435,1.0
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,prob_bucket,90-95%,1,0.624595172203059,1.5621409481941382,0.7903133379888378,0.0,
1,xgb_pca,xgb,pca,xgboost,overall,overall,14850,0.057984697506628324,0.19161230320325864,0.0960337823177829,0.08653198653198653,0.9144412046910608
1,xgb_pca,xgb,pca,xgboost,broad_domain,crypto,5721,0.037048934582878744,0.1485765254527497,0.12097803211961905,0.0,
1,xgb_pca,xgb,pca,xgboost,broad_domain,macro,9129,0.07110480920416053,0.2185821448628777,0.08040161525498252,0.1407602147004053,0.9670952741890999
1,xgb_pca,xgb,pca,xgboost,broad_family,crypto_btc,3112,0.03680368247086381,0.14341874504586408,0.11647398528316151,0.0,
1,xgb_pca,xgb,pca,xgboost,broad_family,crypto_eth,1937,0.048692820504092495,0.18915006502616424,0.15179417289170366,0.0,
1,xgb_pca,xgb,pca,xgboost,broad_family,crypto_microstrategy,336,0.0002906998899034174,0.017043865439831773,0.01689678890120593,0.0,
1,xgb_pca,xgb,pca,xgboost,broad_family,crypto_policy,336,0.008953054821090635,0.09397843091960865,0.0891239452175796,0.0,
1,xgb_pca,xgb,pca,xgboost,broad_family,macro_fed_rates,9129,0.07110480920416053,0.2185821448628777,0.08040161525498252,0.1407602147004053,0.9670952741890999
1,xgb_pca,xgb,pca,xgboost,Y_i,0,13565,0.018279040296789676,0.08738967220258673,0.07418609258244717,0.0,
1,xgb_pca,xgb,pca,xgboost,Y_i,1,1285,0.4771343006595165,1.2918301938835037,0.3266671762943036,1.0,
1,xgb_pca,xgb,pca,xgboost,active_count_bucket,26-50,1740,0.05934208187702995,0.18586689032144937,0.08354152964813442,0.1,0.9735415657433097
