fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
1,scalar_tda,scalar_tda_24h_standard,standard,6,91,0.6489519413674837,0.38461538461538464
1,scalar_tda,scalar_tda_24h_standard,standard,7,23,0.72556991362229,1.0
1,scalar_tda,scalar_tda_72h_balanced,balanced,0,12789,0.009189459889823068,0.034013605442176874
1,scalar_tda,scalar_tda_72h_balanced,balanced,1,828,0.14027782559336216,0.4722222222222222
1,scalar_tda,scalar_tda_72h_balanced,balanced,2,211,0.25471039124390765,0.2985781990521327
1,scalar_tda,scalar_tda_72h_balanced,balanced,3,302,0.3522031549130462,0.3443708609271523
1,scalar_tda,scalar_tda_72h_balanced,balanced,4,233,0.4391804817911031,0.3090128755364807
1,scalar_tda,scalar_tda_72h_balanced,balanced,5,145,0.5415275084756291,0.2689655172413793
1,scalar_tda,scalar_tda_72h_balanced,balanced,6,67,0.649121174221922,0.1044776119402985
1,scalar_tda,scalar_tda_72h_balanced,balanced,7,32,0.7368119858784464,0.0
1,scalar_tda,scalar_tda_72h_balanced,balanced,8,127,0.872824657039151,0.9133858267716536
1,scalar_tda,scalar_tda_72h_balanced,balanced,9,116,0.9555113923976919,0.5
1,scalar_tda,scalar_tda_72h_standard,standard,0,14367,0.006272911554447002,0.07524187373842835
1,scalar_tda,scalar_tda_72h_standard,standard,1,207,0.12910631570771122,0.14492753623188406
1,scalar_tda,scalar_tda_72h_standard,standard,2,33,0.23338571999098556,0.0
1,scalar_tda,scalar_tda_72h_standard,standard,3,36,0.3759350376177426,0.6944444444444444
1,scalar_tda,scalar_tda_72h_standard,standard,4,91,0.42061639471387197,1.0
1,scalar_tda,scalar_tda_72h_standard,standard,5,16,0.5731778512487591,0.0
1,scalar_tda,scalar_tda_72h_standard,standard,6,78,0.6447962143041678,0.46153846153846156
1,scalar_tda,scalar_tda_72h_standard,standard,7,22,0.7408066366686396,1.0
2,family_pca,family_pca_fixed_2_balanced,balanced,0,11496,0.04640031255548499,0.004349338900487126
2,family_pca,family_pca_fixed_2_balanced,balanced,1,1917,0.14181759969279956,0.12728221178925403
2,family_pca,family_pca_fixed_2_balanced,balanced,2,430,0.22270027458923083,0.09767441860465116
2,family_pca,family_pca_fixed_2_balanced,balanced,3,355,0.3599056560043932,0.0
2,family_pca,family_pca_fixed_2_balanced,balanced,4,629,0.4530493355610922,0.0
2,family_pca,family_pca_fixed_2_balanced,balanced,5,496,0.5493806299373988,0.0
2,family_pca,family_pca_fixed_2_balanced,balanced,6,359,0.6447247603060419,0.016713091922005572
2,family_pca,family_pca_fixed_2_balanced,balanced,7,395,0.7496926759045996,0.1620253164556962
2,family_pca,family_pca_fixed_2_balanced,balanced,8,434,0.8381356258831183,0.43317972350230416
2,family_pca,family_pca_fixed_2_balanced,balanced,9,1423,0.9621186822209519,0.5270555165144062
2,family_pca,family_pca_fixed_2_standard,standard,0,15169,0.014922478128756963,0.022150438394093218
2,family_pca,family_pca_fixed_2_standard,standard,1,757,0.139239942132906,0.023778071334214
2,family_pca,family_pca_fixed_2_standard,standard,2,507,0.24344251830013033,0.388560157790927
2,family_pca,family_pca_fixed_2_standard,standard,3,123,0.3521429139628362,0.6422764227642277
2,family_pca,family_pca_fixed_2_standard,standard,4,401,0.45190147456822083,0.6882793017456359
2,family_pca,family_pca_fixed_2_standard,standard,5,259,0.5473603340560493,0.4980694980694981
2,family_pca,family_pca_fixed_2_standard,standard,6,222,0.6548995844519001,0.35135135135135137
2,family_pca,family_pca_fixed_2_standard,standard,7,262,0.7521131120615384,0.549618320610687
2,family_pca,family_pca_fixed_2_standard,standard,8,209,0.8523611216026394,0.41626794258373206
2,family_pca,family_pca_fixed_2_standard,standard,9,25,0.905554986142358,0.0
2,market_probability,market_probability,none,0,11019,0.029104536450900685,0.0
2,market_probability,market_probability,none,1,2545,0.1487489194499018,0.1292730844793713
2,market_probability,market_probability,none,2,696,0.25558189655172414,0.010057471264367816
2,market_probability,market_probability,none,3,1308,0.3442737003058104,0.0
2,market_probability,market_probability,none,4,750,0.4532733333333333,0.24666666666666667
2,market_probability,market_probability,none,5,528,0.5614204545454545,0.5662878787878788
2,market_probability,market_probability,none,6,538,0.6437193308550186,0.4795539033457249
2,market_probability,market_probability,none,7,386,0.7498549222797928,0.5984455958549223
2,market_probability,market_probability,none,8,130,0.8366269230769231,0.2692307692307692
2,market_probability,market_probability,none,9,34,0.9148235294117647,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,0,11213,0.04755313146789575,0.002229554980825827
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,1,2066,0.13989879531973434,0.11471442400774444
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,2,545,0.22586328379544138,0.13577981651376148
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,3,287,0.35982651107804176,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,4,543,0.45490786824589013,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,5,557,0.5437416164886278,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,6,400,0.6421183153030199,0.0025
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,7,399,0.7526754416063156,0.09523809523809523
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,8,482,0.8439850795392823,0.42323651452282157
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,9,1442,0.9653028146071821,0.5305131761442441
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,0,15062,0.015599918899049159,0.022307794449608287
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,1,786,0.13978894288415822,0.013994910941475827
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,2,507,0.2495647280513888,0.34516765285996054
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,3,166,0.33936675161938373,0.4939759036144578
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,4,291,0.45586620222675317,0.6254295532646048
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,5,341,0.543316113930542,0.6275659824046921
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,6,230,0.6464534209883903,0.3521739130434783
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,7,242,0.7482218782412804,0.49173553719008267
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,8,257,0.8498001902580683,0.5603112840466926
2,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_standard,standard,9,52,0.9116580305451361,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,0,11191,0.047533251427774106,0.003574300777410419
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,1,2082,0.13856594016747265,0.10662824207492795
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,2,554,0.22480114424077896,0.13357400722021662
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,3,312,0.3641252265467598,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,4,573,0.4508030943255251,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,5,536,0.5467525907376317,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,6,395,0.6441477287613877,0.02278481012658228
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,7,388,0.7486408601820114,0.10309278350515463
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,8,469,0.8408868629681429,0.42643923240938164
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_balanced,balanced,9,1434,0.9636515646082799,0.5292887029288703
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,0,15136,0.014962106255064089,0.022198731501057084
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,1,783,0.13896105237685666,0.02554278416347382
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,2,510,0.24527037526622122,0.3803921568627451
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,3,120,0.3521558523133655,0.625
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,4,400,0.45511797688138195,0.6825
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,5,260,0.547535693547987,0.5076923076923077
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,6,209,0.6539388494112253,0.33014354066985646
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,7,272,0.7500018172062749,0.5477941176470589
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,8,211,0.8497487529263239,0.4549763033175355
2,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,9,33,0.9059493835017364,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,0,11100,0.048581395712570606,0.0023423423423423423
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,1,2119,0.13946651028545082,0.10948560641812176
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,2,617,0.23025964650973033,0.12641815235008103
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,3,249,0.3677774156426806,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,4,557,0.45087531732360764,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,5,551,0.5468023016948487,0.0
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,6,401,0.6420660973791719,0.004987531172069825
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,7,427,0.7529001405464663,0.12412177985948478
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,8,474,0.8434126431442731,0.3987341772151899
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,9,1439,0.9654011190374266,0.5309242529534399
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,0,15128,0.015130531191133287,0.0222104706504495
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,1,778,0.14023767696227157,0.02056555269922879
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,2,512,0.24392686757799992,0.37890625
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,3,123,0.34827253392966456,0.5609756097560976
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,4,368,0.45439694853365387,0.657608695652174
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,5,282,0.5420288982692681,0.624113475177305
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,6,203,0.6514287718642412,0.2413793103448276
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,7,290,0.7484659470559735,0.5551724137931034
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,8,223,0.8496436541219754,0.452914798206278
2,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,9,27,0.9073530555661772,0.0
2,scalar_tda,scalar_tda_168h_balanced,balanced,0,14420,0.015327973571655655,0.02330097087378641
2,scalar_tda,scalar_tda_168h_balanced,balanced,1,1156,0.1396380016636434,0.0
2,scalar_tda,scalar_tda_168h_balanced,balanced,2,354,0.24816730139821958,0.0
2,scalar_tda,scalar_tda_168h_balanced,balanced,3,361,0.34706546460105164,0.4709141274238227
2,scalar_tda,scalar_tda_168h_balanced,balanced,4,224,0.44868836471775403,0.5133928571428571
2,scalar_tda,scalar_tda_168h_balanced,balanced,5,295,0.5537794864986544,0.6406779661016949
2,scalar_tda,scalar_tda_168h_balanced,balanced,6,353,0.6562548352728897,0.5609065155807366
2,scalar_tda,scalar_tda_168h_balanced,balanced,7,224,0.749011347231775,0.36607142857142855
2,scalar_tda,scalar_tda_168h_balanced,balanced,8,313,0.851940383242024,0.4984025559105431
2,scalar_tda,scalar_tda_168h_balanced,balanced,9,234,0.932060388487849,0.4188034188034188
2,scalar_tda,scalar_tda_168h_standard,standard,0,16745,0.006878127226842089,0.04556584054941774
2,scalar_tda,scalar_tda_168h_standard,standard,1,599,0.1406338595567442,0.5175292153589316
2,scalar_tda,scalar_tda_168h_standard,standard,2,234,0.24547802419636117,0.34615384615384615
2,scalar_tda,scalar_tda_168h_standard,standard,3,185,0.350624987489808,0.7945945945945946
2,scalar_tda,scalar_tda_168h_standard,standard,4,92,0.4340759133726407,0.4673913043478261
2,scalar_tda,scalar_tda_168h_standard,standard,5,61,0.5538427515701236,0.0
2,scalar_tda,scalar_tda_168h_standard,standard,6,17,0.6227523114533927,0.0
2,scalar_tda,scalar_tda_168h_standard,standard,7,1,0.7113425127860019,0.0
2,scalar_tda,scalar_tda_24h_balanced,balanced,0,15309,0.013698010439310276,0.02194787379972565
2,scalar_tda,scalar_tda_24h_balanced,balanced,1,725,0.14560899885978326,0.0496551724137931
2,scalar_tda,scalar_tda_24h_balanced,balanced,2,359,0.2431998600767418,0.48746518105849584
2,scalar_tda,scalar_tda_24h_balanced,balanced,3,257,0.358420235114439,0.5097276264591439
2,scalar_tda,scalar_tda_24h_balanced,balanced,4,352,0.4517363742619736,0.7528409090909091
2,scalar_tda,scalar_tda_24h_balanced,balanced,5,217,0.5448981595067754,0.3317972350230415
2,scalar_tda,scalar_tda_24h_balanced,balanced,6,217,0.6514755012813065,0.45161290322580644
2,scalar_tda,scalar_tda_24h_balanced,balanced,7,242,0.7461516968864104,0.4793388429752066
2,scalar_tda,scalar_tda_24h_balanced,balanced,8,193,0.8357095876166097,0.5958549222797928
2,scalar_tda,scalar_tda_24h_balanced,balanced,9,63,0.9262783543772679,0.0
2,scalar_tda,scalar_tda_24h_standard,standard,0,17196,0.005732818169582797,0.058967201674808095
2,scalar_tda,scalar_tda_24h_standard,standard,1,452,0.14082482940777488,0.415929203539823
2,scalar_tda,scalar_tda_24h_standard,standard,2,198,0.2358612536404832,0.7070707070707071
2,scalar_tda,scalar_tda_24h_standard,standard,3,35,0.3408233456171573,0.05714285714285714
2,scalar_tda,scalar_tda_24h_standard,standard,4,44,0.4297645634309418,0.0
