hypothesis,target,task,fold,model,feature_set,placebo_type,n_obs,metric_primary,brier,log_loss,mse,mae,auc
H1_local_topology,Y_i,classification,3,pca_plus_local_broad_family_ph_future_shift,local_broad_family,future_shift,18204,0.16932432423402374,0.04884961823945158,0.16932432423402374,,,0.9245682890964808
H1_local_topology,Y_i,classification,3,pca_plus_local_broad_domain_ph,local_broad_domain,real,18204,0.15751372529210755,0.04494906994418677,0.15751372529210755,,,0.9321650770702705
H1_local_topology,Y_i,classification,3,pca_plus_local_broad_domain_ph_shuffle,local_broad_domain,shuffle,18204,0.15803813681490547,0.04532773145403886,0.15803813681490547,,,0.9340691064014573
H1_local_topology,Y_i,classification,3,pca_plus_local_broad_domain_ph_future_shift,local_broad_domain,future_shift,18204,0.1599840236998643,0.04565458989802621,0.1599840236998643,,,0.9317908908447721
H1_local_topology,Y_i,classification,3,pca_plus_top_corr_k10_local_graph,local_top_corr_k10,real,18204,0.10719300801606738,0.024754576082258332,0.10719300801606738,,,0.9561075012003615
H1_local_topology,Y_i,classification,3,pca_plus_top_corr_k10_local_graph_shuffle,local_top_corr_k10,shuffle,18204,0.14347538449120453,0.040210587472842035,0.14347538449120453,,,0.9461879695531831
H1_local_topology,Y_i,classification,3,pca_plus_top_corr_k20_local_graph,local_top_corr_k20,real,18204,0.09135974036234537,0.02047996801678772,0.09135974036234537,,,0.9658364975216065
H1_local_topology,Y_i,classification,3,pca_plus_top_corr_k20_local_graph_shuffle,local_top_corr_k20,shuffle,18204,0.14136701578175243,0.041305027323181136,0.14136701578175243,,,0.9673547562560019
H1_local_topology,Y_i,classification,3,pca_plus_top_corr_k40_local_graph,local_top_corr_k40,real,18204,0.08100802604643538,0.020584032972991283,0.08100802604643538,,,0.9777632586990906
H1_local_topology,Y_i,classification,3,pca_plus_top_corr_k40_local_graph_shuffle,local_top_corr_k40,shuffle,18204,0.13341644026538282,0.04071515632615427,0.13341644026538282,,,0.9768114426227194
H1_local_topology,Y_i,classification,3,pca_plus_nearest_pca_k10_local_graph,local_nearest_pca_k10,real,18204,0.12299242717541861,0.038133887240310624,0.12299242717541861,,,0.9627541059424956
H1_local_topology,Y_i,classification,3,pca_plus_nearest_pca_k10_local_graph_shuffle,local_nearest_pca_k10,shuffle,18204,0.1496814354956585,0.043760882996293535,0.1496814354956585,,,0.9385546852934531
H1_local_topology,Y_i,classification,3,pca_plus_nearest_pca_k20_local_graph,local_nearest_pca_k20,real,18204,0.1563260798211235,0.050047972230050114,0.1563260798211235,,,0.9509828842569057
H1_local_topology,Y_i,classification,3,pca_plus_nearest_pca_k20_local_graph_shuffle,local_nearest_pca_k20,shuffle,18204,0.10006302054644667,0.031846051783286526,0.10006302054644667,,,0.9835446322657176
H1_local_topology,Y_i,classification,3,pca_plus_nearest_pca_k40_local_graph,local_nearest_pca_k40,real,18204,0.1372200128051809,0.03995239427800994,0.1372200128051809,,,0.9767363317658024
H1_local_topology,Y_i,classification,3,pca_plus_nearest_pca_k40_local_graph_shuffle,local_nearest_pca_k40,shuffle,18204,0.09391602535088936,0.030608576348896813,0.09391602535088936,,,0.9842667026775123
H2_graph_topology,Y_i,classification,3,pca_plus_graph_topology,graph_topology,real,18204,0.15746446766733585,0.04511610343753966,0.15746446766733585,,,0.9355478238151725
H2_graph_topology,Y_i,classification,3,pca_plus_graph_topology_shuffle,graph_topology,shuffle,18204,0.15751124759961266,0.04517231373720248,0.15751124759961266,,,0.9355945584787889
H2_graph_topology,Y_i,classification,3,pca_plus_graph_topology_future_shift,graph_topology,future_shift,18204,0.1576267692970798,0.045179826197104776,0.1576267692970798,,,0.9354763758261311
H3_regime_volatility,large_move_24h,classification,3,pca_large_move_24h,pca,none,18204,0.026624916247927087,0.003324330983853269,0.026624916247927087,,,0.8298179256273812
H3_regime_volatility,large_move_24h,classification,3,pca_plus_topology_large_move_24h,residual_topology,real,18204,0.026728368717663455,0.0033483564028234446,0.026728368717663455,,,0.8196987468119273
H3_regime_volatility,large_move_72h,classification,3,pca_large_move_72h,pca,none,18204,0.07875630285563902,0.01524216789383145,0.07875630285563902,,,0.8575980350703116
H3_regime_volatility,large_move_72h,classification,3,pca_plus_topology_large_move_72h,residual_topology,real,18204,0.07768336654965843,0.01511741151018325,0.07768336654965843,,,0.8460841618156264
