panel,fold,model,n_components,compression_ratio,train_start,train_end,test_start,test_end,observed_cells,rmse,mae,bias
core_plus_satellites,2,var_90,8,0.26666666666666666,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,8736,0.032019023701580364,0.016906430427533356,0.011691818016440772
core_plus_satellites,2,fixed_10,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,8736,0.026227585919379723,0.013837040507542444,0.006295575811198215
core_plus_satellites,2,var_95,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,8736,0.026227585919379723,0.013837040507542444,0.006295575811198215
core_plus_satellites,3,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,8736,0.13704055518320324,0.099554582942388,0.09915692570345785
core_plus_satellites,3,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,8736,0.05402760371037091,0.02657624574523471,0.01914463929582901
core_plus_satellites,3,fixed_2,2,0.06666666666666667,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,8736,0.05327759934412232,0.02801970669441459,0.022160555147991375
core_plus_satellites,3,fixed_5,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,8736,0.04080298139311848,0.019940931081666113,0.014754061969474519
core_plus_satellites,3,var_85,6,0.2,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,8736,0.04041746362022323,0.019525279281220997,0.014707145968554061
core_plus_satellites,3,var_90,7,0.23333333333333334,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,8736,0.03761297609361698,0.0178520323152682,0.012475453084448852
core_plus_satellites,3,fixed_10,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,8736,0.020596629096210156,0.01070372225387244,0.0032030691374619557
core_plus_satellites,3,var_95,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,8736,0.020596629096210156,0.01070372225387244,0.0032030691374619557
core_plus_satellites,4,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,8736,0.17684216344800094,0.1240192612601331,0.12273137333068476
core_plus_satellites,4,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,8736,0.03380454324440946,0.014934754674931433,0.006713046233785712
core_plus_satellites,4,fixed_2,2,0.06666666666666667,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,8736,0.0632337283274949,0.034630648791900254,0.02308106423135476
core_plus_satellites,4,fixed_5,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,8736,0.047414527579085826,0.02412377743855582,0.01479186200005937
core_plus_satellites,4,var_85,6,0.2,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,8736,0.047632337541770986,0.02389843597007275,0.01455973595917195
