market_id,question,broad_domain,broad_family,resolved_outcome,Y_i,volume,start_date,end_date,close_date,active_start,active_end,active_duration_hours,observed_duration_hours,first_observed_timestamp,last_observed_timestamp,observed_hours,average_pairwise_overlap
572489,Will Trump nominate Janet Yellen as the next Fed chair?,macro,macro_fed_rates,No,0,21325692.069942,2025-08-05 17:28:37.698000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:11:09+00:00,2025-08-05 17:28:37.698000+00:00,2026-12-31 00:00:00+00:00,12294.522861666666,4873.0,2025-08-13 19:00:00+00:00,2026-03-04 20:00:00+00:00,4791,0.011625048938097194
512323,Fed decreases interest rates by 25 bps after January 2025 meeting?,macro,macro_fed_rates,No,0,21247359.999879,2024-11-07 22:42:06.902000+00:00,2025-01-29 12:00:00+00:00,2025-01-29 23:03:10+00:00,2024-11-07 22:42:06.902000+00:00,2025-01-29 23:03:10+00:00,1992.3508605555555,1992.0,2024-11-07 23:00:00+00:00,2025-01-29 23:00:00+00:00,1993,0.009958054459182665
572476,Will Trump nominate Arthur Laffer as the next Fed chair?,macro,macro_fed_rates,No,0,21154894.068664,2025-08-05 17:28:25.487000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:12:11+00:00,2025-08-05 17:28:25.487000+00:00,2026-12-31 00:00:00+00:00,12294.52625361111,5066.0,2025-08-05 18:00:00+00:00,2026-03-04 20:00:00+00:00,5055,0.011625048938097194
512324,No change in Fed interest rates after January 2025 meeting?,macro,macro_fed_rates,Yes,1,21033386.279391,2024-11-07 22:43:10.110000+00:00,2025-01-29 12:00:00+00:00,2025-01-29 23:03:08+00:00,2024-11-07 22:43:10.110000+00:00,2025-01-29 23:03:08+00:00,1992.3327472222222,1992.0,2024-11-07 23:00:00+00:00,2025-01-29 23:00:00+00:00,1993,0.009958054459182665
572492,Will Trump nominate Barron Trump as the next Fed chair?,macro,macro_fed_rates,No,0,20907360.96291,2025-08-05 17:28:39.575000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:13:17+00:00,2025-08-05 17:28:39.575000+00:00,2026-12-31 00:00:00+00:00,12294.522340277777,2545.0,2025-11-18 19:00:00+00:00,2026-03-04 20:00:00+00:00,2539,0.011625048938097194
519778,No change in Fed interest rates after May 2025 meeting?,macro,macro_fed_rates,Yes,1,20629387.641397,2025-01-23 19:42:02.702582+00:00,2025-05-07 12:00:00+00:00,2025-05-07 21:17:32+00:00,2025-01-23 19:42:02.702582+00:00,2025-05-07 21:17:32+00:00,2497.591471505,2497.0,2025-01-23 20:00:00+00:00,2025-05-07 21:00:00+00:00,2498,0.007613401660108408
255335,Fed rate cut by September 18?,macro,macro_fed_rates,Yes,1,20345317.826273,2024-03-08 18:55:46.214000+00:00,2024-09-18 00:00:00+00:00,2024-09-18 20:17:10+00:00,2024-03-08 18:55:46.214000+00:00,2024-09-18 20:17:10+00:00,4657.356607222222,1035.0,2024-08-06 17:00:00+00:00,2024-09-18 20:00:00+00:00,1036,0.0005082529039627885
254580,Will Fed cut interest rates 6+ times in 2024?,macro,macro_fed_rates,No,0,20169086.258574,2024-03-21 16:43:55.353000+00:00,2024-12-30 12:00:00+00:00,2024-12-18 22:09:14+00:00,2024-03-21 16:43:55.353000+00:00,2024-12-30 12:00:00+00:00,6811.2679575,3221.0,2024-08-06 17:00:00+00:00,2024-12-18 22:00:00+00:00,3221,0.005635703582454763
516863,"Will Bitcoin reach $200,000 by December 31, 2025?",crypto,crypto_btc,No,0,19275707.736605,2024-12-30 22:01:26.810000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:16:21+00:00,2024-12-30 22:01:26.810000+00:00,2026-01-01 07:16:21+00:00,8793.248386111112,8792.0,2024-12-30 23:00:00+00:00,2026-01-01 07:00:00+00:00,8787,0.010251423007382748
507418,Will the FED change rates to another level after Nov meeting?,macro,macro_fed_rates,No,0,19150629.538967,2024-09-18 18:10:52.647425+00:00,2024-11-07 12:00:00+00:00,2024-11-07 22:54:40+00:00,2024-09-18 18:10:52.647425+00:00,2024-11-07 22:54:40+00:00,1204.7298201597223,1203.0,2024-09-18 19:00:00+00:00,2024-11-07 22:00:00+00:00,1204,0.00544559811442151
516878,"Will Ethereum hit $5,000 by December 31?",crypto,crypto_eth,No,0,18467737.400303,2024-12-30 22:07:47.006000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:18:23+00:00,2024-12-30 22:07:47.006000+00:00,2026-01-01 07:18:23+00:00,8793.176664999999,8792.0,2024-12-30 23:00:00+00:00,2026-01-01 07:00:00+00:00,8786,0.010251423007382748
516926,MicroStrategy sells any Bitcoin in 2025?,crypto,crypto_microstrategy,No,0,17976157.529867,2024-12-31 18:51:34.648000+00:00,2025-12-31 12:00:00+00:00,2026-01-05 04:22:25+00:00,2024-12-31 18:51:34.648000+00:00,2026-01-05 04:22:25+00:00,8865.513986666667,8865.0,2024-12-31 19:00:00+00:00,2026-01-05 04:00:00+00:00,8860,0.00880380614325092
572484,Will Trump nominate David Zervos as the next Fed chair?,macro,macro_fed_rates,No,0,17922566.56491,2025-08-05 17:28:33.583000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:10:09+00:00,2025-08-05 17:28:33.583000+00:00,2026-12-31 00:00:00+00:00,12294.524004722223,4877.0,2025-08-13 15:00:00+00:00,2026-03-04 20:00:00+00:00,4828,0.011625048938097194
504072,Fed increases interest rates by 25+ bps after September 2024 meeting?,macro,macro_fed_rates,No,0,17625581.465252,2024-08-02 20:44:18.626000+00:00,2024-09-18 12:00:00+00:00,2024-09-18 21:25:00+00:00,2024-08-02 20:44:18.626000+00:00,2024-09-18 21:25:00+00:00,1128.6781594444444,1036.0,2024-08-06 17:00:00+00:00,2024-09-18 21:00:00+00:00,1037,0.0005475789293186995
516009,Fed decreases interest rates by 25 bps after March 2025 meeting?,macro,macro_fed_rates,No,0,17180913.164155,2024-12-18 20:50:16.478000+00:00,2025-03-19 12:00:00+00:00,2025-03-19 21:36:45+00:00,2024-12-18 20:50:16.478000+00:00,2025-03-19 21:36:45+00:00,2184.7745894444442,2184.0,2024-12-18 21:00:00+00:00,2025-03-19 21:00:00+00:00,2185,0.006468349503036921
516010,No change in Fed interest rates after March 2025 meeting?,macro,macro_fed_rates,Yes,1,17161804.938166,2024-12-18 20:50:36.716000+00:00,2025-03-19 12:00:00+00:00,2025-03-19 21:31:51+00:00,2024-12-18 20:50:36.716000+00:00,2025-03-19 21:31:51+00:00,2184.687301111111,2184.0,2024-12-18 21:00:00+00:00,2025-03-19 21:00:00+00:00,2185,0.006468349503036921
516864,"Will Bitcoin reach $150,000 by December 31, 2025?",crypto,crypto_btc,No,0,16414060.383217,2024-12-30 22:01:36.925000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:20:27+00:00,2024-12-30 22:01:36.925000+00:00,2026-01-01 07:20:27+00:00,8793.313909722223,8792.0,2024-12-30 23:00:00+00:00,2026-01-01 07:00:00+00:00,8787,0.010251423007382748
516862,"Will Bitcoin reach $250,000 by December 31, 2025?",crypto,crypto_btc,No,0,15857522.578687,2024-12-30 22:01:06.714000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:20:29+00:00,2024-12-30 22:01:06.714000+00:00,2026-01-01 07:20:29+00:00,8793.322857222222,8792.0,2024-12-30 23:00:00+00:00,2026-01-01 07:00:00+00:00,8787,0.010251423007382748
618949,Will Bitcoin reach $200k in October?,crypto,crypto_btc,No,0,15617197.1584,2025-10-01 08:11:39.277700+00:00,2025-11-01 04:00:00+00:00,2025-11-01 06:06:20+00:00,2025-10-01 08:11:39.277700+00:00,2025-11-01 06:06:20+00:00,741.91131175,741.0,2025-10-01 09:00:00+00:00,2025-11-01 06:00:00+00:00,742,0.020138065568857284
504490,Fed decreases interest rates by 75+ bps after November 2024 meeting?,macro,macro_fed_rates,No,0,15031954.754479,2024-08-02 19:28:58.198711+00:00,2024-11-07 12:00:00+00:00,2024-11-07 22:49:58+00:00,2024-08-02 19:28:58.198711+00:00,2024-11-07 22:49:58+00:00,2331.3499448025,2237.0,2024-08-06 17:00:00+00:00,2024-11-07 22:00:00+00:00,2238,0.004619782577698402
659233,"Will Bitcoin reach $200,000 in November?",crypto,crypto_btc,No,0,13588620.834388,2025-11-01 01:11:26.067959+00:00,2025-12-01 05:00:00+00:00,2025-12-01 07:22:48+00:00,2025-11-01 01:11:26.067959+00:00,2025-12-01 07:22:48+00:00,726.1894255669445,725.0,2025-11-01 02:00:00+00:00,2025-12-01 07:00:00+00:00,726,0.01529334110259836
504584,Fed decreases interest rates by 75+ bps after December 2024 meeting?,macro,macro_fed_rates,No,0,13304399.0156328,2024-08-06 16:06:01.725999+00:00,2024-12-18 12:00:00+00:00,2024-12-18 22:24:42+00:00,2024-08-06 16:06:01.725999+00:00,2024-12-18 22:24:42+00:00,3222.3111872225,3221.0,2024-08-06 17:00:00+00:00,2024-12-18 22:00:00+00:00,3221,0.005626473039054015
1082749,"Will Ethereum reach $6,000 in January?",crypto,crypto_eth,No,0,13219840.034141,2026-01-01 19:38:40.630368+00:00,2026-02-01 05:00:00+00:00,2026-02-01 07:46:58+00:00,2026-01-01 19:38:40.630368+00:00,2026-02-01 07:46:58+00:00,732.1381582311111,731.0,2026-01-01 20:00:00+00:00,2026-02-01 07:00:00+00:00,727,0.019394872591389584
516865,"Will Bitcoin reach $130,000 by December 31, 2025?",crypto,crypto_btc,No,0,13211425.234841,2024-12-30 22:02:05.386000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:19:25+00:00,2024-12-30 22:02:05.386000+00:00,2026-01-01 07:19:25+00:00,8793.288781666666,8792.0,2024-12-30 23:00:00+00:00,2026-01-01 07:00:00+00:00,8787,0.010251423007382748
1082781,"Will Bitcoin reach $100,000 in January?",crypto,crypto_btc,No,0,13025594.701676,2026-01-01 19:22:59.250659+00:00,2026-02-01 05:00:00+00:00,2026-02-01 07:50:52+00:00,2026-01-01 19:22:59.250659+00:00,2026-02-01 07:50:52+00:00,732.4646525947222,731.0,2026-01-01 20:00:00+00:00,2026-02-01 07:00:00+00:00,729,0.019394872591389584
572479,Will Trump nominate Ron Paul as the next Fed chair?,macro,macro_fed_rates,No,0,12652617.884833,2025-08-05 17:28:29.851000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:12:17+00:00,2025-08-05 17:28:29.851000+00:00,2026-12-31 00:00:00+00:00,12294.525041388888,5066.0,2025-08-05 18:00:00+00:00,2026-03-04 20:00:00+00:00,5055,0.011625048938097194
520930,Jerome Powell out as Fed Chair in 2025?,macro,macro_fed_rates,No,0,11760101.336012,2025-01-29 23:13:22.244000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 08:35:53+00:00,2025-01-29 23:13:22.244000+00:00,2026-01-01 08:35:53+00:00,8073.37521,8072.0,2025-01-30 00:00:00+00:00,2026-01-01 08:00:00+00:00,8069,0.010518682268076387
507419,Will the FED change rates to another level after December meeting?,macro,macro_fed_rates,No,0,11155452.805379,2024-09-18 18:22:55.051895+00:00,2024-12-18 12:00:00+00:00,2024-12-18 22:29:58+00:00,2024-09-18 18:22:55.051895+00:00,2024-12-18 22:29:58+00:00,2188.117485584722,2187.0,2024-09-18 19:00:00+00:00,2024-12-18 22:00:00+00:00,2187,0.006634191899807416
504069,Fed decreases interest rates by 50+ bps after September 2024 meeting?,macro,macro_fed_rates,Yes,1,10906333.42219,2024-08-02 20:43:54.565000+00:00,2024-09-18 12:00:00+00:00,2024-09-18 21:09:08+00:00,2024-08-02 20:43:54.565000+00:00,2024-09-18 21:09:08+00:00,1128.420398611111,1036.0,2024-08-06 17:00:00+00:00,2024-09-18 21:00:00+00:00,1037,0.0005475789293186995
572488,Will Trump nominate Philip Jefferson as the next Fed chair?,macro,macro_fed_rates,No,0,10813098.951725,2025-08-05 17:28:35.397000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:12:21+00:00,2025-08-05 17:28:35.397000+00:00,2026-12-31 00:00:00+00:00,12294.523500833333,4877.0,2025-08-13 15:00:00+00:00,2026-03-04 20:00:00+00:00,4867,0.011625048938097194
572477,Will Trump nominate Larry Kudlow as the next Fed chair?,macro,macro_fed_rates,No,0,10383485.453766,2025-08-05 17:28:25.740734+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:12:15+00:00,2025-08-05 17:28:25.740734+00:00,2026-12-31 00:00:00+00:00,12294.526183129443,5066.0,2025-08-05 18:00:00+00:00,2026-03-04 20:00:00+00:00,5055,0.011625048938097194
504588,Fed increases interest rates by 25+ bps after December 2024 meeting?,macro,macro_fed_rates,No,0,10228496.464075,2024-08-06 16:10:13.881646+00:00,2024-12-18 12:00:00+00:00,2024-12-18 22:34:46+00:00,2024-08-06 16:10:13.881646+00:00,2024-12-18 22:34:46+00:00,3222.408921765,3221.0,2024-08-06 17:00:00+00:00,2024-12-18 22:00:00+00:00,3221,0.005626473039054015
516877,"Will Ethereum hit $6,000 by December 31?",crypto,crypto_eth,No,0,9995564.195892,2024-12-30 22:07:00.605000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:18:21+00:00,2024-12-30 22:07:00.605000+00:00,2026-01-01 07:18:21+00:00,8793.188998611111,8792.0,2024-12-30 23:00:00+00:00,2026-01-01 07:00:00+00:00,8787,0.010251423007382748
