fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece,ablation_type
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C1,fixed_2,168,h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.06905742644706851,0.2038480598246509,0.13290038446139654,0.2,0.09441462181859825,h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C1,fixed_2,168,h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,active_market_count_bucket,26-50,11187,0.034760109662618804,0.11507458770953424,0.08081769362438682,0.09010458567980692,0.05776588769407079,h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,overall,overall,11187,0.03435937226065321,0.1141087225522442,0.08495188817136629,0.09010458567980692,0.058372349031624984,h0_h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_btc,3717,0.011614519963859975,0.05854493428352662,0.05104180482143361,0.0,0.05104180482143361,h0_h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_eth,1758,0.000343108356868077,0.016552795444188848,0.016378203024142224,0.0,0.016378203024142224,h0_h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.00019969515389202435,0.013959931458728356,0.013859076557363978,0.0,0.013859076557363978,h0_h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.007320199234502147,0.08899560839920712,0.08510850997605098,0.0,0.08510850997605098,h0_h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.06707882098579077,0.19746624656288436,0.13860880842463025,0.2,0.09023834808370254,h0_h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,active_market_count_bucket,26-50,11187,0.03435937226065321,0.1141087225522442,0.08495188817136629,0.09010458567980692,0.058372349031624984,h0_h1
4,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_C1,var_85,24,h0,1.0,6,2024-08-06 17:00:00+00:00,2025-07-03 22:00:00+00:00,2025-07-03 23:00:00+00:00,2025-07-17 22:00:00+00:00,ok,overall,overall,11424,0.04515522782462216,0.13517838111753155,0.08568278887870867,0.08823529411764706,0.06176656118067163,h0
