fold,representation,model,window_hours,placebo_type,eval_group_type,eval_group,status,n_obs,brier,log_loss,avg_pred,avg_actual,ece
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,broad_family,crypto_microstrategy,ok,264,0.00029926354924667806,0.016242252024284462,0.016090270563892596,0.0,0.016090270563892596
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,broad_family,crypto_policy,ok,264,0.001633008744280709,0.03813932517856799,0.03729182496859588,0.0,0.03729182496859588
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,broad_family,macro_fed_rates,ok,6681,0.05030376808605842,0.18095155548342048,0.10270210164215895,0.1492291573117797,0.05863366184688538
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,active_market_count_bucket,26-50,ok,1740,0.04200602766565031,0.1322968472199008,0.09830746876025759,0.1,0.08259559425746564
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,active_market_count_bucket,51-100,ok,9321,0.06247478311314432,0.2087508463439006,0.12044390154440421,0.0882952472910632,0.05466236725471092
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,overall,overall,ok,11061,0.05792344062205665,0.1931661588414472,0.11066479405086894,0.0901365156857427,0.0471251440134471
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,broad_family,crypto_btc,ok,2392,0.07845315815329275,0.22661317396438088,0.1407434269457512,0.0,0.1407434269457512
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,broad_family,crypto_eth,ok,1460,0.07340650801306045,0.2324301585842249,0.1538326002459752,0.0,0.15383260024597523
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,broad_family,crypto_microstrategy,ok,264,0.000237320896891738,0.014507376328463465,0.014387046642024087,0.0,0.014387046642024087
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,broad_family,crypto_policy,ok,264,0.0013274837804721333,0.034359206124060515,0.03367264194858794,0.0,0.03367264194858795
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,broad_family,macro_fed_rates,ok,6681,0.051705524963927565,0.18594572092830622,0.09730903391638662,0.1492291573117797,0.060105149461865535
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,active_market_count_bucket,26-50,ok,1740,0.0408136797082398,0.1325708297368503,0.1075579151657127,0.1,0.09660520961917257
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,active_market_count_bucket,51-100,ok,9321,0.06111740950844666,0.2044778070167501,0.11124477144172527,0.0882952472910632,0.046453339568011995
