fold,representation,model,window_hours,placebo_type,eval_group_type,eval_group,status,n_obs,brier,log_loss,avg_pred,avg_actual,ece
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,broad_family,crypto_eth,ok,1937,0.09304709291910537,0.28578690252658473,0.17700535122595254,0.0,0.17700535122595257
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,broad_family,crypto_microstrategy,ok,336,0.00032409857527843783,0.016841647326524916,0.01667690206694374,0.0,0.01667690206694374
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,broad_family,crypto_policy,ok,336,0.001809155921455618,0.04016479543384409,0.03922379836218796,0.0,0.03922379836218796
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,broad_family,macro_fed_rates,ok,9129,0.048169302892900986,0.17829742410308275,0.09682646050676248,0.1407602147004053,0.05665395055885205
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,active_market_count_bucket,26-50,ok,1740,0.041327571065880496,0.1324634430815112,0.10327285068503872,0.1,0.08722708907919455
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,active_market_count_bucket,51-100,ok,13110,0.062164469338661175,0.20933481128869014,0.1171274439796231,0.08474446987032799,0.05337763468320824
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,overall,overall,ok,13578,0.05983943277059491,0.19979392893597703,0.11518021671128521,0.08756812490793932,0.04170421944783809
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,broad_family,crypto_btc,ok,2872,0.0846201832686641,0.24611633421413073,0.14941948715593464,0.0,0.14941948715593464
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,broad_family,crypto_eth,ok,1769,0.09042478558584584,0.27924439981611515,0.17429222114972254,0.0,0.17429222114972254
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,broad_family,crypto_microstrategy,ok,312,0.0003073663264021105,0.016372140243155028,0.016216052431277612,0.0,0.016216052431277612
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,broad_family,crypto_policy,ok,312,0.0017074873334057238,0.03881486889828659,0.03792835047477609,0.0,0.0379283504747761
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,broad_family,macro_fed_rates,ok,8313,0.049185681675485746,0.1798092343441447,0.09738580806849972,0.14302899073739925,0.05803445238595871
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,active_market_count_bucket,26-50,ok,1740,0.042201261361888,0.13287017529532516,0.09787602490534357,0.1,0.08728132585006393
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,active_market_count_bucket,51-100,ok,11838,0.06243196683472314,0.2096306692075376,0.11772366102133239,0.08574083460043927,0.053460334695383235
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,overall,overall,ok,13578,0.05929803102366478,0.19847732188549255,0.11312969820148085,0.08756812490793932,0.04354580647680156
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,broad_family,crypto_btc,ok,2872,0.08258414191625896,0.23975441434534095,0.14666579454462259,0.0,0.14666579454462259
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,broad_family,crypto_eth,ok,1769,0.08739460156765484,0.2702105428037459,0.17071900070737542,0.0,0.17071900070737545
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,broad_family,crypto_microstrategy,ok,312,0.0002921917961389336,0.015825169174195474,0.01567669788677418,0.0,0.01567669788677418
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,broad_family,crypto_policy,ok,312,0.001637889153826732,0.037686872305206974,0.03683541366100404,0.0,0.03683541366100404
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,broad_family,macro_fed_rates,ok,8313,0.049652805753188256,0.18184195734391898,0.0958095981226148,0.14302899073739925,0.057573271159088495
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,active_market_count_bucket,26-50,ok,1740,0.04103776691558716,0.1325600357779009,0.1056971024856245,0.1,0.09463948043896131
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,active_market_count_bucket,51-100,ok,11838,0.061982002940209384,0.20816612724342543,0.11422217298992399,0.08574083460043927,0.0464617732976187
