fold,representation,model,window_hours,placebo_type,prob_decile,n_obs,avg_pred,avg_actual
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,6,266,0.6513198661844443,0.6691729323308271
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,7,342,0.7656468098542528,0.3333333333333333
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,8,413,0.8415556657275984,0.4213075060532688
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,9,27,0.9122812654648486,0.8148148148148148
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,0,11585,0.019319977387528064,0.02002589555459646
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,1,836,0.14124201703810965,0.034688995215311005
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,2,464,0.23919084406756524,0.03017241379310345
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,3,200,0.3592213613620037,0.185
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,4,435,0.45035267660015166,0.5632183908045977
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,5,288,0.5446268458526498,0.8368055555555556
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,6,249,0.6477964160775899,0.6465863453815262
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,7,374,0.762923049675584,0.393048128342246
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,8,394,0.8405979650704556,0.40609137055837563
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,9,25,0.9120061241742486,0.76
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,0,11576,0.019978918505844424,0.01986869384934347
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,1,866,0.14358136435282873,0.046189376443418015
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,2,419,0.24511042822165907,0.014319809069212411
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,3,215,0.35285663583661564,0.12558139534883722
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,4,437,0.4507579459051276,0.5949656750572082
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,5,305,0.5607209961804547,0.8098360655737705
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,6,253,0.6450523145333503,0.6521739130434783
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,7,321,0.7628634243713245,0.3644859813084112
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,8,432,0.839146763988302,0.39814814814814814
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,9,26,0.9124576278277107,0.8076923076923077
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,0,11636,0.019349121960938395,0.019938123066345823
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,1,853,0.1420786376579757,0.0492379835873388
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,2,413,0.2417727920204672,0.004842615012106538
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,3,229,0.3654580856802293,0.17467248908296942
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,4,413,0.44927010301506665,0.612590799031477
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,5,334,0.5547813187194247,0.8892215568862275
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,6,191,0.642890052320807,0.5654450261780105
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,7,400,0.7624707179371747,0.335
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,8,377,0.8419214490726662,0.46153846153846156
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,9,4,0.923148850957656,0.75
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,0,4848,0.02325053863791303,0.01278877887788779
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,1,449,0.14887953420240058,0.05790645879732739
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,2,261,0.2411081645409866,0.07279693486590039
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,3,76,0.33842991721253746,0.013157894736842105
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,4,211,0.440562985648567,0.5545023696682464
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,5,82,0.5653626585766514,0.7195121951219512
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,6,233,0.6527843065165064,0.6824034334763949
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,7,136,0.755337821440209,0.4117647058823529
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,8,152,0.848101953397721,0.5921052631578947
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_168h,168,future_shift,9,25,0.915655364659972,0.96
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,0,10589,0.020281479317818887,0.019454150533572575
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,1,697,0.14462402819552816,0.03156384505021521
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,2,471,0.24142204619437488,0.04883227176220807
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,3,223,0.3589862079156505,0.3542600896860987
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,4,345,0.4494733496895709,0.4927536231884058
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,5,304,0.551294545530354,0.7598684210526315
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,6,244,0.6502733522025119,0.7213114754098361
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,7,282,0.7641905085040386,0.30851063829787234
