fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
3,tda,tda_72h_balanced,balanced,3,614,0.3467418955507671,0.0
3,tda,tda_72h_balanced,balanced,4,329,0.447492998259469,0.0425531914893617
3,tda,tda_72h_balanced,balanced,5,197,0.5503079202629846,0.467005076142132
3,tda,tda_72h_balanced,balanced,6,129,0.658691177110917,0.689922480620155
3,tda,tda_72h_balanced,balanced,7,480,0.7598545374685255,0.5354166666666667
3,tda,tda_72h_balanced,balanced,8,445,0.8464414182733742,0.4943820224719101
3,tda,tda_72h_balanced,balanced,9,520,0.9538322461749791,0.6461538461538462
3,tda,tda_72h_standard,standard,0,16593,0.009873293669666779,0.025311878502983186
3,tda,tda_72h_standard,standard,1,474,0.1616551741477638,0.5548523206751055
3,tda,tda_72h_standard,standard,2,461,0.2389450927408686,0.6789587852494577
3,tda,tda_72h_standard,standard,3,211,0.35074074749033607,0.05687203791469194
3,tda,tda_72h_standard,standard,4,99,0.4429883889118063,0.1414141414141414
3,tda,tda_72h_standard,standard,5,75,0.5524287031672879,0.8533333333333334
3,tda,tda_72h_standard,standard,6,224,0.6515005505560441,0.8526785714285714
3,tda,tda_72h_standard,standard,7,67,0.7340766966995409,1.0
4,market_probability,market_probability,none,0,12250,0.026344238286801783,0.0
4,market_probability,market_probability,none,1,2339,0.15197532606158262,0.14322359982898675
4,market_probability,market_probability,none,2,1321,0.24842543527630584,0.000757002271006813
4,market_probability,market_probability,none,3,677,0.35437961595273265,0.0
4,market_probability,market_probability,none,4,414,0.4511787439613526,0.28019323671497587
4,market_probability,market_probability,none,5,435,0.5523666666666667,0.4436781609195402
4,market_probability,market_probability,none,6,340,0.6448588235294118,0.5058823529411764
4,market_probability,market_probability,none,7,398,0.7449246231155779,0.550251256281407
4,market_probability,market_probability,none,8,243,0.8346913580246913,0.9711934156378601
4,market_probability,market_probability,none,9,75,0.9204573402395878,1.0
4,tda,tda_168h_balanced,balanced,0,10890,0.06677583527491078,0.0
4,tda,tda_168h_balanced,balanced,1,2771,0.1370601338769862,0.019487549621075424
4,tda,tda_168h_balanced,balanced,2,1237,0.24630242367580713,0.20452708164915118
4,tda,tda_168h_balanced,balanced,3,711,0.34893586095199597,0.040787623066104076
4,tda,tda_168h_balanced,balanced,4,404,0.44233815859163034,0.0
4,tda,tda_168h_balanced,balanced,5,296,0.5513250783450544,0.0
4,tda,tda_168h_balanced,balanced,6,307,0.6478224822403551,0.0
4,tda,tda_168h_balanced,balanced,7,283,0.7566390222959382,0.1696113074204947
4,tda,tda_168h_balanced,balanced,8,401,0.8527669613288223,0.4713216957605985
4,tda,tda_168h_balanced,balanced,9,1192,0.9645943773703726,0.6493288590604027
4,tda,tda_168h_standard,standard,0,15995,0.01869726634541342,0.02100656455142232
4,tda,tda_168h_standard,standard,1,644,0.14054294698480418,0.0
