fold,representation,model,n_components,class_weight,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual
1,active_filled_pca,fixed_5_balanced,5,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.02939196672355452,0.1138845840577276,0.06098479974764129,0.0
1,active_filled_pca,fixed_5_balanced,5,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.02823946399361359,0.09907776610100803,0.07086834162848694,0.0
1,active_filled_pca,fixed_5_balanced,5,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0007107721488944443,0.011796973268452908,0.011425352082843912,0.0
1,active_filled_pca,fixed_5_balanced,5,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.005050260890471102,0.03340430279950414,0.030541821575089275,0.0
1,active_filled_pca,fixed_5_balanced,5,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.10133517908395454,0.4212934153188032,0.04154825201906707,0.1407602147004053
1,active_filled_pca,fixed_5_balanced,5,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.08387433362440058,0.299824082996918,0.25838557895949793,0.1
1,active_filled_pca,fixed_5_balanced,5,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.07072851705961265,0.2963999825564342,0.02066062015184145,0.08474446987032799
1,active_filled_pca,fixed_10_standard,10,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.07674683642426901,0.3918179564379823,0.019210383464734377,0.08653198653198653
1,active_filled_pca,fixed_10_standard,10,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.011950339711879822,0.037896702857230624,0.024318667878122823,0.0
1,active_filled_pca,fixed_10_standard,10,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.004537866434112606,0.02424204571909599,0.021224319440236856,0.0
1,active_filled_pca,fixed_10_standard,10,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,5.8058570273646806e-05,0.0033065835808593473,0.0032771915833247397,0.0
1,active_filled_pca,fixed_10_standard,10,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.00037096066098742466,0.008465055403324455,0.008273568781577045,0.0
1,active_filled_pca,fixed_10_standard,10,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.11979045524947364,0.6188684412921196,0.018030664670417515,0.1407602147004053
1,active_filled_pca,fixed_10_standard,10,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.04026728449095626,0.141098142272008,0.13628679739102195,0.1
1,active_filled_pca,fixed_10_standard,10,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.08158851608589861,0.4250942704462809,0.0036716374516344253,0.08474446987032799
1,active_filled_pca,fixed_10_balanced,10,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.07495482734759357,0.32919592337065917,0.04222703020381293,0.08653198653198653
1,active_filled_pca,fixed_10_balanced,10,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.026546914976890348,0.10514570184915134,0.05209896825632791,0.0
1,active_filled_pca,fixed_10_balanced,10,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.024834784323386802,0.08653802949312804,0.06019016878328355,0.0
1,active_filled_pca,fixed_10_balanced,10,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0005415539118829529,0.010097502650724505,0.009815969326553174,0.0
1,active_filled_pca,fixed_10_balanced,10,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.004304068831648583,0.030128232327319166,0.027713070484658864,0.0
1,active_filled_pca,fixed_10_balanced,10,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.1074303954680091,0.47981224973369674,0.03677744495598006,0.1407602147004053
1,active_filled_pca,fixed_10_balanced,10,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.08252488189116543,0.29606534405488555,0.25260037347135106,0.1
1,active_filled_pca,fixed_10_balanced,10,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.0739501061495909,0.333593116964057,0.014305625376542418,0.08474446987032799
1,active_filled_pca,var_85_standard,17,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.07638786232866293,0.38028734486623905,0.021157520434676995,0.08653198653198653
