fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece,placebo_type
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_eth,840,0.000201417376334132,0.012402312171821502,0.012300219548861261,0.0,0.012300219548861261,future_shift
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_microstrategy,168,8.27819556416391e-05,0.008763292864815054,0.008721619648161377,0.0,0.008721619648161377,future_shift
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_policy,168,0.009547545927801614,0.10084521664977293,0.09571288163104866,0.0,0.09571288163104866,future_shift
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,macro_fed_rates,2520,0.06490770072701289,0.21511365571231666,0.14430820332437844,0.2,0.08640929244486441,future_shift
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,active_market_count_bucket,26-50,5544,0.03396730142191889,0.12451244095420767,0.0895448347125632,0.09090909090909091,0.04106829508889278,future_shift
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,overall,overall,11187,0.0348963275082802,0.11506918426788378,0.08087912007923673,0.09010458567980692,0.05834842536641336,shuffle
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_btc,3717,0.010192433589029196,0.05409495900988525,0.04763435269374526,0.0,0.04763435269374527,shuffle
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_eth,1758,0.00029391626305319584,0.015340880995149844,0.015191529377790843,0.0,0.015191529377790843,shuffle
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.00016913425538068352,0.012901761767296955,0.012816420149554227,0.0,0.012816420149554227,shuffle
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.006310262882946129,0.08222105184065923,0.07888416240372964,0.0,0.07888416240372964,shuffle
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.06940598372138566,0.20382489436573922,0.1329801037658156,0.2,0.09470768297497062,shuffle
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,active_market_count_bucket,26-50,11187,0.0348963275082802,0.11506918426788378,0.08087912007923673,0.09010458567980692,0.05834842536641336,shuffle
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,overall,overall,5544,0.0458513437723832,0.1438300612856934,0.08035106507468527,0.09090909090909091,0.06290351420859965,future_shift
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_btc,1848,0.009520306082460598,0.05358406500863454,0.04763679118788567,0.0,0.04763679118788568,future_shift
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_eth,840,0.0003040790743845405,0.015873808350588818,0.01571931736499487,0.0,0.01571931736499487,future_shift
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_microstrategy,168,0.00021305473305311586,0.014602688408626819,0.014495091331299522,0.0,0.014495091331299522,future_shift
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_policy,168,0.0055141963026909616,0.07679068137612295,0.07388644925338635,0.0,0.07388644925338633,future_shift
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,macro_fed_rates,2520,0.09340822207826081,0.26574699305301386,0.13070682113254745,0.2,0.11158901675717525,future_shift
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,active_market_count_bucket,26-50,5544,0.0458513437723832,0.1438300612856934,0.08035106507468527,0.09090909090909091,0.06290351420859965,future_shift
4,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-03 22:00:00+00:00,2025-07-03 23:00:00+00:00,2025-07-17 22:00:00+00:00,ok,overall,overall,11424,0.045167200109791944,0.13521018607705643,0.08525782054024879,0.08823529411764706,0.061692806111013014,shuffle
4,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-03 22:00:00+00:00,2025-07-03 23:00:00+00:00,2025-07-17 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.03488022446635521,0.10901409814086908,0.0749693905206887,0.0,0.07496939052068871,shuffle
