model,fold,prob_decile,n_obs,avg_pred,avg_actual,abs_calibration_error,ece
logit_pca_controls_dynamic_topology,8,2,762,0.24057177746388655,0.2440944881889764,0.0035227107250898337,0.033328465604340246
logit_pca_controls_dynamic_topology,8,3,732,0.3493270342545744,0.2568306010928962,0.09249643316167822,0.033328465604340246
logit_pca_controls_dynamic_topology,8,4,325,0.4313342640286092,0.38769230769230767,0.043641956336301524,0.033328465604340246
logit_pca_controls_dynamic_topology,8,5,146,0.5539916918341715,0.363013698630137,0.19097799320403452,0.033328465604340246
logit_pca_controls_dynamic_topology,8,6,214,0.6461701631564483,0.8177570093457944,0.17158684618934616,0.033328465604340246
logit_pca_controls_dynamic_topology,8,7,148,0.7515096688893613,0.777027027027027,0.025517358137665647,0.033328465604340246
logit_pca_controls_dynamic_topology,8,8,170,0.8634165069312015,0.5647058823529412,0.29871062457826036,0.033328465604340246
logit_pca_controls_dynamic_topology,8,9,340,0.9496973637017554,0.5617647058823529,0.38793265781940245,0.033328465604340246
logit_pca_controls_dynamic_topology,9,0,18735,0.019104328838488623,0.02866293034427542,0.009558601505786798,0.016167336591840012
logit_pca_controls_dynamic_topology,9,1,1097,0.13526534990868128,0.12306289881494986,0.012202451093731415,0.016167336591840012
logit_pca_controls_dynamic_topology,9,2,384,0.24981471680210052,0.2604166666666667,0.010601949864566168,0.016167336591840012
logit_pca_controls_dynamic_topology,9,3,226,0.34592939640209286,0.3893805309734513,0.04345113457135846,0.016167336591840012
logit_pca_controls_dynamic_topology,9,4,173,0.446159881168715,0.6416184971098265,0.19545861594111152,0.016167336591840012
logit_pca_controls_dynamic_topology,9,5,82,0.5396550813305742,0.6463414634146342,0.10668638208406,0.016167336591840012
logit_pca_controls_dynamic_topology,9,6,32,0.6500436712928874,0.875,0.22495632870711257,0.016167336591840012
logit_pca_controls_dynamic_topology,9,7,114,0.7573713340378875,0.2807017543859649,0.4766695796519226,0.016167336591840012
logit_pca_controls_dynamic_topology,9,8,135,0.8539479843533162,0.6,0.2539479843533162,0.016167336591840012
logit_pca_controls_dynamic_topology,9,9,536,0.9665708019396211,0.960820895522388,0.005749906417233053,0.016167336591840012
logit_pca_controls_dynamic_topology,10,0,18349,0.0276643407902345,0.02261703635075481,0.005047304439479688,0.01894929219117197
logit_pca_controls_dynamic_topology,10,1,1050,0.12666063273752953,0.25142857142857145,0.12476793869104191,0.01894929219117197
logit_pca_controls_dynamic_topology,10,2,269,0.24381155202919447,0.31970260223048325,0.07589105020128878,0.01894929219117197
logit_pca_controls_dynamic_topology,10,3,198,0.34449850733443327,0.1919191919191919,0.15257931541524136,0.01894929219117197
logit_pca_controls_dynamic_topology,10,4,110,0.4595973827753441,0.10909090909090909,0.35050647368443505,0.01894929219117197
logit_pca_controls_dynamic_topology,10,5,90,0.5284438241679283,0.06666666666666667,0.4617771575012617,0.01894929219117197
logit_pca_controls_dynamic_topology,10,6,56,0.6575672659771918,1.0,0.34243273402280816,0.01894929219117197
logit_pca_controls_dynamic_topology,10,7,17,0.7263626484147387,1.0,0.27363735158526126,0.01894929219117197
logit_pca_controls_dynamic_topology,10,8,45,0.8734248381169625,1.0,0.12657516188303752,0.01894929219117197
logit_pca_controls_dynamic_topology,10,9,742,0.9829534231763765,1.0,0.017046576823623538,0.01894929219117197
logit_pca_controls_dynamic_topology,11,0,15761,0.01740994392779235,0.00019034325233170484,0.017219600675460647,0.028793164213355815
logit_pca_controls_dynamic_topology,11,1,965,0.13910647215467029,0.10569948186528498,0.033406990289385305,0.028793164213355815
logit_pca_controls_dynamic_topology,11,2,436,0.2649593961104293,0.10779816513761468,0.1571612309728146,0.028793164213355815
logit_pca_controls_dynamic_topology,11,3,687,0.34510774946388784,0.26055312954876275,0.08455461991512508,0.028793164213355815
logit_pca_controls_dynamic_topology,11,4,506,0.44890177853411634,0.48616600790513836,0.03726422937102203,0.028793164213355815
logit_pca_controls_dynamic_topology,11,5,283,0.5418055493649082,0.38869257950530034,0.15311296985960787,0.028793164213355815
logit_pca_controls_dynamic_topology,11,6,271,0.6467219940117322,0.6014760147601476,0.04524597925158469,0.028793164213355815
logit_pca_controls_dynamic_topology,11,7,63,0.766165576637788,0.8253968253968254,0.0592312487590374,0.028793164213355815
logit_pca_controls_dynamic_topology,11,8,97,0.8644958824332545,0.31958762886597936,0.5449082535672751,0.028793164213355815
logit_pca_controls_dynamic_topology,11,9,747,0.9875740971702839,1.0,0.012425902829716118,0.028793164213355815
logit_pca_controls_dynamic_topology,12,0,9279,0.04680657031773501,0.005172971225347559,0.04163359909238745,0.0998168699751839
logit_pca_controls_dynamic_topology,12,1,2921,0.13688444596678653,0.07428962684012325,0.06259481912666329,0.0998168699751839
logit_pca_controls_dynamic_topology,12,2,939,0.24021065319960896,0.07561235356762513,0.16459829963198383,0.0998168699751839
logit_pca_controls_dynamic_topology,12,3,431,0.34492156453400113,0.0,0.34492156453400113,0.0998168699751839
logit_pca_controls_dynamic_topology,12,4,221,0.4419691627943098,0.0,0.4419691627943098,0.0998168699751839
logit_pca_controls_dynamic_topology,12,5,126,0.542387874082547,0.07142857142857142,0.47095930265397556,0.0998168699751839
logit_pca_controls_dynamic_topology,12,6,255,0.6511736732568998,0.21568627450980393,0.43548739874709586,0.0998168699751839
logit_pca_controls_dynamic_topology,12,7,524,0.7543315149358208,0.40458015267175573,0.3497513622640651,0.0998168699751839
logit_pca_controls_dynamic_topology,12,8,528,0.8464806848420442,0.6287878787878788,0.2176928060541654,0.0998168699751839
logit_pca_controls_dynamic_topology,12,9,927,0.9811097922739364,0.7939590075512406,0.18715078472269575,0.0998168699751839
logit_pca_controls_dynamic_topology,13,0,12504,0.031978612767375604,0.0017594369801663468,0.030219175787209257,0.06313623273441199
logit_pca_controls_dynamic_topology,13,1,970,0.14530147823766595,0.2979381443298969,0.15263666609223095,0.06313623273441199
logit_pca_controls_dynamic_topology,13,2,385,0.24119863221995533,0.06493506493506493,0.1762635672848904,0.06313623273441199
